SampleID	Subject_ID	project
101-1001.1	101-1001	crestone
101-1001.2	101-1001	crestone
101-1001.3	101-1001	crestone
101-1001.4	101-1001	crestone
101-1001.5	101-1001	crestone
101-1001.6	101-1001	crestone
101-1001.7	101-1001	crestone
101-1002.2	101-1002	crestone
101-1002.3	101-1002	crestone
101-1002.4	101-1002	crestone
101-1002.5	101-1002	crestone
101-1002.6	101-1002	crestone
101-1002.7	101-1002	crestone
101-1002.U	101-1002	crestone
101-1003.1	101-1003	crestone
101-1003.2	101-1003	crestone
101-1003.3	101-1003	crestone
101-1003.4	101-1003	crestone
101-1003.5	101-1003	crestone
101-1003.6	101-1003	crestone
101-1003.7	101-1003	crestone
103-1001.1	103-1001	crestone
110-1002.1	110-1002	crestone
110-1002.2	110-1002	crestone
110-1002.3	110-1002	crestone
110-1002.4	110-1002	crestone
110-1002.5	110-1002	crestone
110-1002.6	110-1002	crestone
110-1002.7	110-1002	crestone
110-1003.1	110-1003	crestone
110-1003.2	110-1003	crestone
110-1003.3	110-1003	crestone
110-1003.4	110-1003	crestone
110-1003.5	110-1003	crestone
110-1003.6	110-1003	crestone
110-1003.7	110-1003	crestone
110-1004.1	110-1004	crestone
110-1004.2	110-1004	crestone
110-1004.3	110-1004	crestone
110-1004.4	110-1004	crestone
110-1004.5	110-1004	crestone
110-1004.6	110-1004	crestone
110-1004.7	110-1004	crestone
110-1005.2	110-1005	crestone
110-1005.3	110-1005	crestone
110-1005.4	110-1005	crestone
110-1005.5	110-1005	crestone
110-1005.6	110-1005	crestone
110-1005.7	110-1005	crestone
114-1002.2	114-1002	crestone
114-1002.3	114-1002	crestone
114-1002.4	114-1002	crestone
114-1002.5	114-1002	crestone
114-1002.6	114-1002	crestone
114-1002.7	114-1002	crestone
114-1003.2	114-1003	crestone
114-1003.3	114-1003	crestone
114-1003.7	114-1003	crestone
114-1004.1	114-1004	crestone
114-1004.2	114-1004	crestone
114-1004.4	114-1004	crestone
114-1004.5	114-1004	crestone
114-1004.6	114-1004	crestone
114-1005.2	114-1005	crestone
114-1005.4	114-1005	crestone
114-1005.5	114-1005	crestone
114-1005.6	114-1005	crestone
114-1005.7	114-1005	crestone
116-1001.2	116-1001	crestone
116-1001.3	116-1001	crestone
116-1001.4	116-1001	crestone
116-1001.6	116-1001	crestone
116-1001.7	116-1001	crestone
116-1001.U	116-1001	crestone
116-1002.2	116-1002	crestone
116-1002.3	116-1002	crestone
116-1002.4	116-1002	crestone
116-1002.5	116-1002	crestone
116-1002.6	116-1002	crestone
116-1002.7	116-1002	crestone
116-1003.1	116-1003	crestone
116-1003.2	116-1003	crestone
116-1003.3	116-1003	crestone
116-1003.4	116-1003	crestone
116-1003.5	116-1003	crestone
116-1003.6	116-1003	crestone
116-1003.7	116-1003	crestone
116-1003.U	116-1003	crestone
116-1004.1	116-1004	crestone
116-1004.2	116-1004	crestone
116-1004.3	116-1004	crestone
116-1004.4	116-1004	crestone
116-1004.5	116-1004	crestone
116-1004.6	116-1004	crestone
116-1004.7	116-1004	crestone
116-1006.1	116-1006	crestone
116-1006.2	116-1006	crestone
116-1006.4	116-1006	crestone
116-1006.5	116-1006	crestone
116-1006.U	116-1006	crestone
116-1007.1	116-1007	crestone
116-1007.2	116-1007	crestone
116-1007.4	116-1007	crestone
116-1007.5	116-1007	crestone
116-1008.1	116-1008	crestone
116-1008.4	116-1008	crestone
116-1008.5	116-1008	crestone
116-1009.1	116-1009	crestone
116-1009.2	116-1009	crestone
116-1009.4	116-1009	crestone
116-1009.5	116-1009	crestone
116-1010.2	116-1010	crestone
116-1010.4	116-1010	crestone
116-1010.5	116-1010	crestone
116-1011.1	116-1011	crestone
116-1011.2	116-1011	crestone
116-1011.4	116-1011	crestone
116-1011.5	116-1011	crestone
116-1012.1	116-1012	crestone
116-1012.2	116-1012	crestone
116-1012.4	116-1012	crestone
116-1012.5	116-1012	crestone
117-1945.1	117-1945	crestone
117-1945.2	117-1945	crestone
117-1945.3	117-1945	crestone
117-1945.4	117-1945	crestone
117-1945.5	117-1945	crestone
117-1945.6	117-1945	crestone
117-1945.7	117-1945	crestone
120-2201.1	120-2201	crestone
120-2201.2	120-2201	crestone
120-2201.3	120-2201	crestone
120-2201.4	120-2201	crestone
120-2201.5	120-2201	crestone
120-2201.6	120-2201	crestone
120-2201.7	120-2201	crestone
120-2203.1	120-2203	crestone
120-2203.2	120-2203	crestone
120-2203.3	120-2203	crestone
120-2203.4	120-2203	crestone
120-2203.5	120-2203	crestone
120-2203.6	120-2203	crestone
120-2203.7	120-2203	crestone
120-2203.U	120-2203	crestone
120-2204.1	120-2204	crestone
120-2204.2	120-2204	crestone
120-2204.4	120-2204	crestone
120-2204.5	120-2204	crestone
120-2204.U	120-2204	crestone
120-2205.1	120-2205	crestone
120-2205.2	120-2205	crestone
120-2205.4	120-2205	crestone
120-2205.5	120-2205	crestone
120-2205.U	120-2205	crestone
122-1001.1	122-1001	crestone
122-1001.2	122-1001	crestone
122-1001.4	122-1001	crestone
122-1001.5	122-1001	crestone
122-1001.6	122-1001	crestone
122-1001.7	122-1001	crestone
122-1002.1	122-1002	crestone
122-1002.2	122-1002	crestone
122-1002.3	122-1002	crestone
122-1002.4	122-1002	crestone
122-1002.5	122-1002	crestone
122-1002.6	122-1002	crestone
122-1002.7	122-1002	crestone
122-1003.1	122-1003	crestone
122-1003.2	122-1003	crestone
122-1003.3	122-1003	crestone
122-1003.4	122-1003	crestone
122-1003.5	122-1003	crestone
122-1003.6	122-1003	crestone
122-1003.7	122-1003	crestone
123-1001.1	123-1001	crestone
123-1001.2	123-1001	crestone
123-1001.3	123-1001	crestone
123-1001.4	123-1001	crestone
123-1001.5	123-1001	crestone
123-1001.6	123-1001	crestone
123-1001.7	123-1001	crestone
128-1001.1	128-1001	crestone
128-1001.2	128-1001	crestone
128-1001.3	128-1001	crestone
128-1001.4	128-1001	crestone
128-1001.6	128-1001	crestone
128-1001.7	128-1001	crestone
128-1001.U	128-1001	crestone
128-1002.1	128-1002	crestone
128-1002.2	128-1002	crestone
128-1002.3	128-1002	crestone
128-1002.5	128-1002	crestone
128-1002.6	128-1002	crestone
128-1002.7	128-1002	crestone
130-1001.2	130-1001	crestone
130-1001.3	130-1001	crestone
130-1001.4	130-1001	crestone
130-1001.5	130-1001	crestone
130-1001.6	130-1001	crestone
130-1001.7	130-1001	crestone
131-1001.1	131-1001	crestone
131-1001.2	131-1001	crestone
131-1001.3	131-1001	crestone
139-1001.2	139-1001	crestone
139-1001.3	139-1001	crestone
139-1001.4	139-1001	crestone
139-1001.5	139-1001	crestone
139-1001.6	139-1001	crestone
139-1001.7	139-1001	crestone
139-1001.U	139-1001	crestone
139-1002.2	139-1002	crestone
139-1002.3	139-1002	crestone
139-1002.4	139-1002	crestone
139-1002.5	139-1002	crestone
139-1002.6	139-1002	crestone
139-1002.7	139-1002	crestone
140-1002.3	140-1002	crestone
140-1002.4	140-1002	crestone
140-1002.5	140-1002	crestone
140-1002.7	140-1002	crestone
140-1003.3	140-1003	crestone
146-1001.1	146-1001	crestone
146-1001.2	146-1001	crestone
146-1001.3	146-1001	crestone
146-1001.4	146-1001	crestone
146-1001.5	146-1001	crestone
146-1001.6	146-1001	crestone
146-1001.7	146-1001	crestone
146-1002.1	146-1002	crestone
146-1002.2	146-1002	crestone
146-1002.3	146-1002	crestone
146-1002.4	146-1002	crestone
146-1002.5	146-1002	crestone
146-1002.6	146-1002	crestone
146-1002.7	146-1002	crestone
146-1003.1	146-1003	crestone
146-1003.2	146-1003	crestone
146-1003.3	146-1003	crestone
146-1003.4	146-1003	crestone
146-1003.5	146-1003	crestone
146-1003.6	146-1003	crestone
146-1003.7	146-1003	crestone
146-1004.1	146-1004	crestone
146-1004.2	146-1004	crestone
146-1004.3	146-1004	crestone
146-1004.4	146-1004	crestone
146-1004.5	146-1004	crestone
146-1004.6	146-1004	crestone
146-1004.7	146-1004	crestone
HC001	HC001	healthy_control_AMC
HC002	HC002	healthy_control_AMC
HC003	HC003	healthy_control_AMC
HC004	HC004	healthy_control_AMC
HC005	HC005	healthy_control_AMC
HC006	HC006	healthy_control_AMC
HC007	HC007	healthy_control_AMC
HC008	HC008	healthy_control_AMC
HC009	HC009	healthy_control_AMC
HC010	HC010	healthy_control_AMC
HC011	HC011	healthy_control_AMC
HC012	HC012	healthy_control_AMC
HC013	HC013	healthy_control_AMC
HC014	HC014	healthy_control_AMC
HC015	HC015	healthy_control_AMC
HC016	HC016	healthy_control_AMC
HC017	HC017	healthy_control_AMC
HC018	HC018	healthy_control_AMC
HC019	HC019	healthy_control_AMC
HC020	HC020	healthy_control_AMC
