Sample,MetaG_ID,forward_reads,reverse_reads
116-1012.2,LOZ_1,LOZ_1_R1_001.fastq.gz,LOZ_1_R2_001.fastq.gz
146-1002.2,LOZ_2,LOZ_2_R1_001.fastq.gz,LOZ_2_R2_001.fastq.gz
146-1003.4,LOZ_3,LOZ_3_R1_001.fastq.gz,LOZ_3_R2_001.fastq.gz
101-1003.2,LOZ_4,LOZ_4_R1_001.fastq.gz,LOZ_4_R2_001.fastq.gz
116-1012.4,LOZ_5,LOZ_5_R1_001.fastq.gz,LOZ_5_R2_001.fastq.gz
116-1002.2,LOZ_6,LOZ_6_R1_001.fastq.gz,LOZ_6_R2_001.fastq.gz
122-1002.2,LOZ_7,LOZ_7_R1_001.fastq.gz,LOZ_7_R2_001.fastq.gz
101-1001.4,LOZ_8,LOZ_8_R1_001.fastq.gz,LOZ_8_R2_001.fastq.gz
101-1003.4,LOZ_9,LOZ_9_R1_001.fastq.gz,LOZ_9_R2_001.fastq.gz
110-1005.4,LOZ_10,LOZ_10_R1_001.fastq.gz,LOZ_10_R2_001.fastq.gz
146-1001.2,LOZ_11,LOZ_11_R1_001.fastq.gz,LOZ_11_R2_001.fastq.gz
116-1011.2,LOZ_12,LOZ_12_R1_001.fastq.gz,LOZ_12_R2_001.fastq.gz
116-1009.2,LOZ_13,LOZ_13_R1_001.fastq.gz,LOZ_13_R2_001.fastq.gz
146-1001.4,LOZ_14,LOZ_14_R1_001.fastq.gz,LOZ_14_R2_001.fastq.gz
116-1003.2,LOZ_15,LOZ_15_R1_001.fastq.gz,LOZ_15_R2_001.fastq.gz
116-1004.4,LOZ_16,LOZ_16_R1_001.fastq.gz,LOZ_16_R2_001.fastq.gz
139-1002.2,LOZ_17,LOZ_17_R1_001.fastq.gz,LOZ_17_R2_001.fastq.gz
120-2201.2,LOZ_18,LOZ_18_R1_001.fastq.gz,LOZ_18_R2_001.fastq.gz
116-1011.4,LOZ_19,LOZ_19_R1_001.fastq.gz,LOZ_19_R2_001.fastq.gz
120-2203.4,LOZ_20,LOZ_20_R1_001.fastq.gz,LOZ_20_R2_001.fastq.gz
101-1001.2,LOZ_21,LOZ_21_R1_001.fastq.gz,LOZ_21_R2_001.fastq.gz
139-1001.4,LOZ_22,LOZ_22_R1_001.fastq.gz,LOZ_22_R2_001.fastq.gz
122-1003.2,LOZ_23,LOZ_23_R1_001.fastq.gz,LOZ_23_R2_001.fastq.gz
116-1006.4,LOZ_24,LOZ_24_R1_001.fastq.gz,LOZ_24_R2_001.fastq.gz
122-1001.4,LOZ_25,LOZ_25_R1_001.fastq.gz,LOZ_25_R2_001.fastq.gz
120-2203.2,LOZ_26,LOZ_26_R1_001.fastq.gz,LOZ_26_R2_001.fastq.gz
120-2205.2,LOZ_27,LOZ_27_R1_001.fastq.gz,LOZ_27_R2_001.fastq.gz
116-1004.2,LOZ_28,LOZ_28_R1_001.fastq.gz,LOZ_28_R2_001.fastq.gz
114-1005.2,LOZ_29,LOZ_29_R1_001.fastq.gz,LOZ_29_R2_001.fastq.gz
116-1001.4,LOZ_30,LOZ_30_R1_001.fastq.gz,LOZ_30_R2_001.fastq.gz
114-1004.2,LOZ_31,LOZ_31_R1_001.fastq.gz,LOZ_31_R2_001.fastq.gz
116-1006.2,LOZ_32,LOZ_32_R1_001.fastq.gz,LOZ_32_R2_001.fastq.gz
101-1002.4,LOZ_33,LOZ_33_R1_001.fastq.gz,LOZ_33_R2_001.fastq.gz
146-1004.2,LOZ_34,LOZ_34_R1_001.fastq.gz,LOZ_34_R2_001.fastq.gz
146-1004.4,LOZ_35,LOZ_35_R1_001.fastq.gz,LOZ_35_R2_001.fastq.gz
101-1002.2,LOZ_36,LOZ_36_R1_001.fastq.gz,LOZ_36_R2_001.fastq.gz
110-1003.2,LOZ_37,LOZ_37_R1_001.fastq.gz,LOZ_37_R2_001.fastq.gz
116-1002.4,LOZ_38,LOZ_38_R1_001.fastq.gz,LOZ_38_R2_001.fastq.gz
120-2205.4,LOZ_39,LOZ_39_R1_001.fastq.gz,LOZ_39_R2_001.fastq.gz
