"term","estimate","std.error","df","statistic","p.value","immune_product"
"(Intercept)",1.24770017643189,0.260461048945989,224.059437268041,4.79035226756926,3.02820328990033e-06,"GM-CSF"
"treatment_groupCRS3123_400mg_po_bid",0.0827001345984654,0.394434128590202,226.66043183021,0.209667796481138,0.834115294201977,"GM-CSF"
"treatment_groupVancomycin_125mg_po_qid",-0.721733188690503,0.375910266906226,224.281348556405,-1.91996136373297,0.0561313501328432,"GM-CSF"
"visitD4",-0.862250486876272,0.381739268544223,196.347957429783,-2.25874191608449,0.024998720376335,"GM-CSF"
"visitFUV1",-1.20978122133025,0.36218258472118,190.857814984878,-3.34025232676932,0.00100675149964436,"GM-CSF"
"visitFUV2",-1.12612438430083,0.36218258472118,190.857815023226,-3.10927259290436,0.00216261997038804,"GM-CSF"
"visitFUV3",-1.07327555358712,0.371291346221968,194.371390993275,-2.89065598891037,0.0042816638438626,"GM-CSF"
"visitFUV4",-1.09416843705134,0.38179949449218,196.888156232369,-2.86581950169069,0.00461129175587807,"GM-CSF"
"visitScreening",1.03915040195101,0.40914295682546,201.152866614014,2.53982229100014,0.0118464729861268,"GM-CSF"
"treatment_groupCRS3123_400mg_po_bid:visitD4",-0.104538410589261,0.566909693097289,201.332743254564,-0.184400464239938,0.853884909921717,"GM-CSF"
"treatment_groupVancomycin_125mg_po_qid:visitD4",0.488633541719203,0.531702451253714,195.970419570877,0.918998098592628,0.359226313299236,"GM-CSF"
"treatment_groupCRS3123_400mg_po_bid:visitFUV1",0.350678427823328,0.522270471895997,195.328047732392,0.671449845805491,0.50272730476928,"GM-CSF"
"treatment_groupVancomycin_125mg_po_qid:visitFUV1",0.770593601529562,0.517018883279461,189.948422474683,1.49045542909704,0.137763212707552,"GM-CSF"
"treatment_groupCRS3123_400mg_po_bid:visitFUV2",-0.136676824346445,0.522270471895997,195.328047746843,-0.261697399529916,0.793830496957574,"GM-CSF"
"treatment_groupVancomycin_125mg_po_qid:visitFUV2",0.668820487966922,0.523340599792266,191.082771736994,1.2779831876839,0.202805657267233,"GM-CSF"
"treatment_groupCRS3123_400mg_po_bid:visitFUV3",-0.071323484809094,0.56982913432822,199.93249795634,-0.125166441152888,0.900517548704851,"GM-CSF"
"treatment_groupVancomycin_125mg_po_qid:visitFUV3",0.710672837521123,0.529740829628699,193.16940110417,1.34154816425844,0.181317542430969,"GM-CSF"
"treatment_groupCRS3123_400mg_po_bid:visitFUV4",-0.150621833317365,0.558145458628416,199.838719043789,-0.269861253888014,0.787545459465557,"GM-CSF"
"treatment_groupVancomycin_125mg_po_qid:visitFUV4",0.71991980917491,0.537158204620264,194.488877866237,1.34023794662849,0.181731579974691,"GM-CSF"
"treatment_groupCRS3123_400mg_po_bid:visitScreening",-1.0200657003403,0.585829332159963,203.974576350239,-1.7412335715238,0.0831503634157926,"GM-CSF"
"treatment_groupVancomycin_125mg_po_qid:visitScreening",-0.98300868506886,0.556211098713855,194.794284417001,-1.76733022289901,0.0787387052840432,"GM-CSF"
"(Intercept)",3.19118648721976,1.72527839237074,224.642740141478,1.84966466938399,0.0656753970574254,"IL-12p40"
"treatment_groupCRS3123_400mg_po_bid",2.7140929276503,2.61348430051254,227.013263476759,1.03849597532231,0.300144050204451,"IL-12p40"
"treatment_groupVancomycin_125mg_po_qid",3.46462463332976,2.49006154650578,224.832600012425,1.39138112396923,0.165485063348667,"IL-12p40"
"visitD4",-1.93736146708852,2.53949149298788,192.273428103217,-0.762893466049413,0.446461893460233,"IL-12p40"
"visitFUV1",-2.96357321848913,2.41011222587158,186.061290380878,-1.22964117051329,0.220384131904373,"IL-12p40"
"visitFUV2",-1.168740915182,2.41011222587158,186.061290323536,-0.484932154874796,0.628294906912493,"IL-12p40"
"visitFUV3",-3.03536578068056,2.47026138520653,189.943516272724,-1.22876299603687,0.220680863975354,"IL-12p40"
"visitFUV4",-2.94703180456862,2.53981957140289,192.829097938092,-1.16033116594215,0.247348567298586,"IL-12p40"
"visitScreening",3.4667957729156,2.72104505509372,197.869452625445,1.2740677580571,0.204133798445306,"IL-12p40"
"treatment_groupCRS3123_400mg_po_bid:visitD4",-1.83263201897023,3.77026793268333,197.87507572192,-0.486074743676354,0.627452025312887,"IL-12p40"
"treatment_groupVancomycin_125mg_po_qid:visitD4",-3.25717982687614,3.53719525575372,191.715984183979,-0.920836875368387,0.358292857125374,"IL-12p40"
"treatment_groupCRS3123_400mg_po_bid:visitFUV1",-2.27578641611111,3.47456723565738,191.033874875544,-0.654984135220092,0.513265856898052,"IL-12p40"
"treatment_groupVancomycin_125mg_po_qid:visitFUV1",-2.86127074147757,3.44062474774209,185.02775295113,-0.831613718803622,0.406698959642685,"IL-12p40"
"treatment_groupCRS3123_400mg_po_bid:visitFUV2",-3.86657190376836,3.47456723565738,191.03387480592,-1.11282114908817,0.267183598687199,"IL-12p40"
"treatment_groupVancomycin_125mg_po_qid:visitFUV2",-5.22640482800537,3.48248087611699,186.329511866089,-1.50077057532413,0.135107519772617,"IL-12p40"
"treatment_groupCRS3123_400mg_po_bid:visitFUV3",-1.44664782110603,3.78999373126565,196.22313821178,-0.381701903402075,0.703095510047477,"IL-12p40"
"treatment_groupVancomycin_125mg_po_qid:visitFUV3",-2.70793186652331,3.52468010373472,188.606315493982,-0.768277343425863,0.443283304693484,"IL-12p40"
"treatment_groupCRS3123_400mg_po_bid:visitFUV4",-2.63216729077074,3.71230413474168,196.117271767957,-0.709038698132931,0.479142485814646,"IL-12p40"
"treatment_groupVancomycin_125mg_po_qid:visitFUV4",-3.08095331077939,3.57377419232135,190.11443015881,-0.862100721808098,0.389718207828841,"IL-12p40"
"treatment_groupCRS3123_400mg_po_bid:visitScreening",0.41042259540187,3.89549280567015,200.874455857075,0.105358324575641,0.916196615903954,"IL-12p40"
"treatment_groupVancomycin_125mg_po_qid:visitScreening",-8.02891256722915,3.70046418942168,190.563527631806,-2.16970416581276,0.031266909387391,"IL-12p40"
"(Intercept)",4.78708449768307,0.800176133619212,213.336570007195,5.98253846441407,9.16589126648713e-09,"IL-15"
"treatment_groupCRS3123_400mg_po_bid",1.74910862904121,1.20869906330512,220.007635335659,1.44710017749031,0.149292193737545,"IL-15"
"treatment_groupVancomycin_125mg_po_qid",-1.75986215967147,1.15458762180552,214.088818505725,-1.52423439021409,0.128925985363049,"IL-15"
"visitD4",-2.36988379715197,1.13851175673102,196.47898207984,-2.08156286761285,0.038678195400742,"IL-15"
"visitFUV1",-4.25771727458407,1.07841926838135,192.064726398148,-3.94810942220521,0.000110480249927824,"IL-15"
"visitFUV2",-2.98909778948928,1.07841926838135,192.064726403085,-2.77173996897863,0.00612433545839817,"IL-15"
"visitFUV3",-2.96249890989356,1.10676269982549,195.226515821256,-2.67672456829333,0.00806688455717812,"IL-15"
"visitFUV4",-4.14848025234053,1.13892619643049,197.136999621281,-3.64244870768824,0.000345195119176256,"IL-15"
"visitScreening",-1.68227221647711,1.22194564437594,199.919796079972,-1.37671607916428,0.170139834192424,"IL-15"
"treatment_groupCRS3123_400mg_po_bid:visitD4",-0.887076212518702,1.69347815294939,200.821534455224,-0.523819106242236,0.600981962222233,"IL-15"
"treatment_groupVancomycin_125mg_po_qid:visitD4",1.26802332964628,1.58575715561255,196.786417940532,0.799632733901467,0.424887782216389,"IL-15"
"treatment_groupCRS3123_400mg_po_bid:visitFUV1",-0.729564136718978,1.5572575194814,196.013749318862,-0.468492929134766,0.639952694562694,"IL-15"
"treatment_groupVancomycin_125mg_po_qid:visitFUV1",2.0559501916055,1.53904771307576,191.344718291225,1.33585864436699,0.183182151437623,"IL-15"
"treatment_groupCRS3123_400mg_po_bid:visitFUV2",-2.10909354684091,1.55725751948139,196.013749348208,-1.35436401523577,0.177179465017207,"IL-15"
"treatment_groupVancomycin_125mg_po_qid:visitFUV2",0.755448924266253,1.55836035891454,192.174369669312,0.484771651142648,0.628390428320222,"IL-15"
"treatment_groupCRS3123_400mg_po_bid:visitFUV3",-1.94230717935394,1.70151496187122,199.877765566162,-1.14151636798886,0.255020838454393,"IL-15"
"treatment_groupVancomycin_125mg_po_qid:visitFUV3",0.757087422900422,1.57848024492794,194.153928502952,0.479630597426313,0.632029927753843,"IL-15"
"treatment_groupCRS3123_400mg_po_bid:visitFUV4",-1.62824527278938,1.6665798644729,199.809106575866,-0.976998047017895,0.329751504749563,"IL-15"
"treatment_groupVancomycin_125mg_po_qid:visitFUV4",2.09943006126511,1.60119614376827,195.160857841449,1.31116357570303,0.191343094045216,"IL-15"
"treatment_groupCRS3123_400mg_po_bid:visitScreening",0.409026893087447,1.75152102678498,203.109614247009,0.233526681571297,0.815587646673709,"IL-15"
"treatment_groupVancomycin_125mg_po_qid:visitScreening",0.742119345148109,1.65802501737965,195.035757974478,0.447592368853974,0.65494413945296,"IL-15"
"(Intercept)",0.918476524060963,6.57700141115707,229.682269524304,0.139649738025429,0.889059118867828,"IL-16"
"treatment_groupCRS3123_400mg_po_bid",-0.167656158185678,9.97328682385576,229.831409565685,-0.0168105220622604,0.986602359658013,"IL-16"
"treatment_groupVancomycin_125mg_po_qid",18.5073471993452,9.49304219544779,229.689315622862,1.94956967622245,0.0524445292554902,"IL-16"
"visitD4",-0.8644404570528,9.88808541865667,206.24085555636,-0.0874224301725579,0.930420563020967,"IL-16"
"visitFUV1",0.0864790159341512,9.40151190908281,201.165418788779,0.00919841582614002,0.992669945150619,"IL-16"
"visitFUV2",1.99468482683555,9.4015119090828,201.165419000428,0.21216638835595,0.832192045846663,"IL-16"
"visitFUV3",26.39080935992,9.62597730611927,203.897633596216,2.74162389133654,0.00665704720840838,"IL-16"
"visitFUV4",-0.276689540782051,9.88824464783733,206.400121179124,-0.0279816641513382,0.977703811699753,"IL-16"
"visitScreening",0.457442803038339,10.5755270453055,211.377473404672,0.0432548468817354,0.965539216691465,"IL-16"
